timestamp,machine_id,temperature,vibration,pressure,rpm,failure_within_days,egt,cht,oil_pressure,oil_temp,flight_hours,altitude,throttle,manifold_pressure
2026-01-01 00:00:00,UAV-01,165.0,1.4,62.0,2450.0,21,680.0,165.0,62.0,88.0,720.0,8536.0,72.0,28.5
2026-01-01 01:00:00,UAV-01,163.7,4.591,61.29,2438.4,21,739.3,163.7,61.29,87.1,720.01,8381.0,71.1,28.36
2026-01-01 02:00:00,UAV-01,163.27,1.537,61.0,2434.0,19,675.3,163.3,61.0,86.8,720.03,8559.0,70.8,28.3
2026-01-01 03:00:00,UAV-01,162.41,1.605,60.51,2425.9,19,673.0,162.4,60.51,86.3,720.04,8496.0,70.2,28.21
2026-01-01 04:00:00,UAV-01,161.24,1.694,59.85,2415.3,21,669.8,161.2,59.85,85.5,720.06,8445.0,69.4,28.08
2026-01-01 05:00:00,UAV-01,159.81,1.8,59.07,2402.6,21,665.9,159.8,59.07,84.5,720.07,8472.0,68.4,27.93
2026-01-01 06:00:00,UAV-01,166.22,1.492,62.21,2455.2,18,683.0,166.2,62.21,88.8,720.09,8519.0,72.6,28.55
2026-01-01 07:00:00,UAV-01,163.85,1.551,60.96,2434.7,20,676.6,163.9,60.96,87.2,720.1,8494.0,71.0,28.31
2026-01-01 08:00:00,UAV-01,160.95,1.756,59.44,2409.6,18,668.8,160.9,59.44,85.2,720.12,8443.0,69.0,28.01
2026-01-01 09:00:00,UAV-01,168.79,3.477,63.3,2474.1,18,752.9,168.8,63.3,90.5,720.13,8403.0,74.2,28.78
2026-01-01 10:00:00,UAV-01,165.33,1.485,61.51,2444.5,18,680.4,165.3,61.51,88.1,720.15,8513.0,71.9,28.42
2026-01-01 11:00:00,UAV-01,165.97,1.484,61.75,2449.0,20,682.1,166.0,61.75,88.6,720.16,8663.0,72.3,28.47
2026-01-01 12:00:00,UAV-01,168.38,1.647,62.9,2468.3,21,688.5,168.4,62.9,90.2,720.17,8514.0,73.9,28.7
2026-01-01 13:00:00,UAV-01,168.16,1.634,62.72,2465.6,22,687.8,168.2,62.72,90.0,720.19,8356.0,73.7,28.67
2026-01-01 14:00:00,UAV-01,167.67,1.603,62.41,2460.7,19,686.5,167.7,62.41,89.7,720.2,8477.0,73.3,28.61
2026-01-01 15:00:00,UAV-01,168.01,1.627,62.51,2462.7,22,687.3,168.0,62.51,89.9,720.22,8673.0,73.5,28.63
2026-01-01 16:00:00,UAV-01,166.68,1.541,61.78,2450.8,22,683.8,166.7,61.78,89.0,720.23,8444.0,72.6,28.49
2026-01-01 17:00:00,UAV-01,164.4,1.622,60.57,2431.0,18,677.6,164.4,60.57,87.5,720.25,8476.0,71.0,28.25
2026-01-01 18:00:00,UAV-01,169.64,1.742,63.13,2473.8,18,691.6,169.6,63.13,91.0,720.26,8341.0,74.5,28.76
2026-01-01 19:00:00,UAV-01,160.3,1.917,58.39,2395.1,21,666.6,160.3,58.39,84.7,720.28,8444.0,68.2,27.82
2026-01-01 20:00:00,UAV-01,170.11,1.776,63.23,2476.1,21,692.7,170.1,63.23,91.3,720.29,8583.0,74.8,28.79
2026-01-01 21:00:00,UAV-01,165.66,1.581,60.94,2438.1,22,680.8,165.7,60.94,88.3,720.31,8683.0,71.7,28.33
2026-01-01 22:00:00,UAV-01,165.56,1.598,60.82,2436.5,19,680.5,165.6,60.82,88.2,720.32,8542.0,71.7,28.31
2026-01-01 23:00:00,UAV-01,163.2,1.767,59.58,2416.0,22,674.2,163.2,59.58,86.6,720.34,8499.0,70.0,28.06
2026-01-02 00:00:00,UAV-01,170.11,1.783,62.96,2472.7,22,692.5,170.1,62.96,91.2,720.35,8578.0,74.6,28.74
2026-01-02 01:00:00,UAV-01,165.65,1.624,60.67,2434.8,22,680.6,165.7,60.67,88.3,720.36,8626.0,71.6,28.29
2026-01-02 02:00:00,UAV-01,168.49,1.679,62.02,2457.6,22,688.1,168.5,62.02,90.1,720.38,8345.0,73.5,28.56
